Disease,Symptoms,Medicines,Brand Names,Dosages,Prices (INR)
Pancreatic Cancer,"Abdominal pain, jaundice, weight loss","Surgery, Chemotherapy","Gemcitabine, Erlotinib","1000mg/m², 100mg",4000
Colorectal Cancer,"Blood in stool, abdominal pain, weight loss","Surgery, Chemotherapy","Capecitabine, Oxaliplatin","1500mg/m², 130mg/m²",3000
Constipation,"Weight loss, Fatigue, Chills, Joint pain","Azithromycin, Paracetamol","Claritine, Brufen","1g, 500mg","100, 20"
Flu,"Rash, Chest tightness, Headache, Shortness of breath","Amoxicillin, Omeprazole","Flagyl, Claritine","10mg, 1g","150, 100"
Indigestion,"Sore throat, Fatigue, Itching, Chest tightness","Loratadine, Paracetamol","Claritine, Crocin","1g, 200mg","30, 100"
Dengue,"Rash, Chills, Pain, Fever","Azithromycin, Amoxicillin","Brufen, Claritine","200mg, 5mg","20, 150"
Cholera,"Chills, Itching, Pain, Headache","Metronidazole, Ciprofloxacin","Zinetac, Crocin","1g, 5mg","200, 150"
Anxiety,"Vomiting, Sore throat, Fever, Headache","Azithromycin, Omeprazole","Alerid, Omez","100mg, 250mg","150, 75"
Acne,"Fever, Cough, Shortness of breath, Sore throat","Metronidazole, Paracetamol","Alerid, Omez","5mg, 100mg","75, 30"
Dengue,"Chest tightness, Pain, Joint pain, Fatigue","Omeprazole, Loratadine","Zinetac, Ciplox","200mg, 100mg","50, 30"
Chickenpox,"Sweating, Cough, Chills, Nausea","Metronidazole, Ranitidine","Flagyl, Omez","100mg, 1g","200, 20"
Anxiety,"Fever, Chest tightness, Dizziness, Sweating","Cetirizine, Ranitidine","Omez, Zinetac","250mg, 100mg","20, 200"
Epilepsy,"Rash, Weight loss, Joint pain, Fever","Metronidazole, Paracetamol","Crocin, Zinetac","200mg, 1g","20, 100"
Common Cold,"Dizziness, Nausea, Headache, Vomiting","Ibuprofen, Amoxicillin","Zinetac, Ciplox","10mg, 1g","200, 30"
Cholera,"Sweating, Sore throat, Headache, Nausea","Omeprazole, Ranitidine","Ciplox, Claritine","500mg, 100mg","150, 30"
Common Cold,"Joint pain, Itching, Fever, Cough","Cetirizine, Omeprazole","Ciplox, Omez","200mg, 250mg","200, 30"
Chickenpox,"Shortness of breath, Fever, Weight loss, Cough","Azithromycin, Ciprofloxacin","Claritine, Azithral","5mg, 100mg","20, 75"
Constipation,"Chills, Pain, Shortness of breath, Cough","Paracetamol, Amoxicillin","Flagyl, Ciplox","200mg, 5mg","200, 75"
Glaucoma,"Fever, Fatigue, Vomiting, Cough","Cetirizine, Ranitidine","Brufen, Azithral","100mg, 10mg","50, 30"
Common Cold,"Rash, Dizziness, Headache, Fatigue","Ciprofloxacin, Paracetamol","Crocin, Omez","100mg, 1g","150, 200"
Allergy,"Rash, Fever, Chest tightness, Cough","Ranitidine, Azithromycin","Azithral, Claritine","500mg, 1g","100, 75"
Hepatitis,"Dizziness, Shortness of breath, Headache, Fatigue","Ibuprofen, Cetirizine","Azithral, Flagyl","250mg, 10mg","50, 200"
Hepatitis,"Shortness of breath, Pain, Chills, Fever","Omeprazole, Amoxicillin","Alerid, Crocin","1g, 500mg","75, 100"
Bronchitis,"Nausea, Dizziness, Chest tightness, Sweating","Metronidazole, Omeprazole","Omez, Crocin","500mg, 250mg","20, 30"
Epilepsy,"Joint pain, Sweating, Vomiting, Headache","Loratadine, Cetirizine","Omez, Azithral","100mg, 250mg","100, 50"
Ear Infection,"Fever, Nausea, Dizziness, Sore throat","Ranitidine, Omeprazole","Claritine, Brufen","250mg, 100mg","100, 150"
Chickenpox,"Shortness of breath, Dizziness, Sore throat, Vomiting","Ciprofloxacin, Paracetamol","Zinetac, Brufen","100mg, 200mg","50, 75"
Gastritis,"Nausea, Rash, Dizziness, Shortness of breath","Ibuprofen, Ciprofloxacin","Brufen, Flagyl","200mg, 1g","75, 100"
Epilepsy,"Weight loss, Sore throat, Pain, Dizziness","Ranitidine, Loratadine","Alerid, Crocin","200mg, 100mg","150, 50"
Glaucoma,"Sore throat, Headache, Weight loss, Dizziness","Azithromycin, Ranitidine","Claritine, Omez","250mg, 500mg","100, 75"
Alzheimer's,"Pain, Dizziness, Sweating, Sore throat","Metronidazole, Paracetamol","Claritine, Brufen","250mg, 10mg","75, 200"
Acne,"Rash, Weight loss, Nausea, Headache","Metronidazole, Azithromycin","Zinetac, Claritine","250mg, 200mg","30, 20"
HIV,"Rash, Cough, Chest tightness, Fever","Amoxicillin, Ciprofloxacin","Crocin, Omez","200mg, 500mg","20, 100"
Hepatitis,"Weight loss, Pain, Rash, Sweating","Loratadine, Ciprofloxacin","Crocin, Flagyl","100mg, 5mg","75, 50"
Glaucoma,"Dizziness, Nausea, Chest tightness, Joint pain","Amoxicillin, Ranitidine","Brufen, Omez","200mg, 1g","150, 100"
Indigestion,"Chills, Fatigue, Rash, Shortness of breath","Ciprofloxacin, Metronidazole","Augmentin, Zinetac","500mg, 10mg","75, 50"
Chickenpox,"Joint pain, Weight loss, Fever, Shortness of breath","Metronidazole, Omeprazole","Azithral, Zinetac","200mg, 10mg","100, 200"
Cholera,"Shortness of breath, Headache, Rash, Chest tightness","Omeprazole, Azithromycin","Alerid, Flagyl","1g, 200mg","150, 100"
Back Pain,"Joint pain, Chills, Sweating, Itching","Loratadine, Cetirizine","Flagyl, Augmentin","500mg, 10mg","20, 200"
Dengue,"Dizziness, Weight loss, Pain, Rash","Ibuprofen, Ciprofloxacin","Azithral, Flagyl","500mg, 10mg","150, 100"
Common Cold,"Fatigue, Pain, Nausea, Cough","Ranitidine, Paracetamol","Brufen, Azithral","10mg, 200mg","150, 30"
Cholera,"Rash, Cough, Sweating, Headache","Ciprofloxacin, Loratadine","Omez, Flagyl","200mg, 5mg","150, 75"
Hepatitis,"Fatigue, Cough, Shortness of breath, Chest tightness","Cetirizine, Ciprofloxacin","Azithral, Ciplox","1g, 5mg","200, 30"
Epilepsy,"Headache, Cough, Vomiting, Itching","Omeprazole, Loratadine","Augmentin, Claritine","500mg, 5mg","200, 75"
Dengue,"Itching, Sweating, Cough, Nausea","Omeprazole, Cetirizine","Zinetac, Ciplox","100mg, 5mg","30, 150"
Alzheimer's,"Itching, Vomiting, Rash, Shortness of breath","Omeprazole, Ranitidine","Alerid, Crocin","500mg, 10mg","50, 200"
Gastritis,"Sore throat, Shortness of breath, Pain, Cough","Cetirizine, Omeprazole","Ciplox, Omez","100mg, 200mg","30, 100"
Dengue,"Dizziness, Weight loss, Fatigue, Headache","Cetirizine, Paracetamol","Flagyl, Augmentin","5mg, 100mg","75, 20"
Allergy,"Rash, Weight loss, Dizziness, Fever","Ranitidine, Metronidazole","Zinetac, Azithral","5mg, 100mg","200, 50"
Common Cold,"Cough, Pain, Vomiting, Itching","Ranitidine, Ibuprofen","Ciplox, Flagyl","1g, 250mg","30, 20"
Chickenpox,"Shortness of breath, Pain, Chills, Weight loss","Ibuprofen, Amoxicillin","Azithral, Claritine","250mg, 1g","30, 100"
Gastritis,"Cough, Sore throat, Pain, Nausea","Amoxicillin, Azithromycin","Azithral, Claritine","250mg, 5mg","50, 30"
Acne,"Sweating, Fatigue, Dizziness, Itching","Paracetamol, Omeprazole","Omez, Flagyl","10mg, 200mg","150, 75"
Anxiety,"Shortness of breath, Fever, Dizziness, Joint pain","Omeprazole, Loratadine","Ciplox, Brufen","200mg, 1g","20, 100"
Epilepsy,"Weight loss, Rash, Chest tightness, Sweating","Ibuprofen, Metronidazole","Crocin, Zinetac","100mg, 200mg","200, 100"
Eye Infection,"Weight loss, Pain, Vomiting, Sweating","Loratadine, Azithromycin","Brufen, Zinetac","10mg, 200mg","75, 150"
Chickenpox,"Joint pain, Vomiting, Fever, Itching","Loratadine, Ranitidine","Crocin, Omez","500mg, 250mg","20, 50"
COVID-19,"Joint pain, Weight loss, Sore throat, Dizziness","Ranitidine, Omeprazole","Augmentin, Alerid","500mg, 200mg","150, 30"
Insomnia,"Vomiting, Shortness of breath, Chills, Rash","Omeprazole, Metronidazole","Ciplox, Flagyl","500mg, 1g","150, 50"
Anxiety,"Headache, Sweating, Sore throat, Vomiting","Cetirizine, Ranitidine","Omez, Brufen","10mg, 500mg","200, 20"
Hepatitis,"Chills, Dizziness, Headache, Joint pain","Paracetamol, Ibuprofen","Zinetac, Brufen","10mg, 250mg","20, 75"
COVID-19,"Itching, Nausea, Fatigue, Sweating","Cetirizine, Paracetamol","Ciplox, Claritine","100mg, 10mg","75, 200"
Gastritis,"Itching, Headache, Vomiting, Nausea","Loratadine, Omeprazole","Augmentin, Brufen","200mg, 100mg","50, 150"
Chickenpox,"Nausea, Fever, Sore throat, Chills","Ciprofloxacin, Omeprazole","Zinetac, Flagyl","5mg, 500mg","75, 30"
Gout,"Nausea, Headache, Shortness of breath, Chills","Amoxicillin, Paracetamol","Zinetac, Crocin","250mg, 500mg","75, 20"
Glaucoma,"Itching, Joint pain, Shortness of breath, Fever","Azithromycin, Ranitidine","Omez, Claritine","200mg, 1g","50, 30"
Cholera,"Sweating, Pain, Dizziness, Shortness of breath","Ciprofloxacin, Paracetamol","Flagyl, Ciplox","1g, 250mg","150, 100"
Flu,"Nausea, Pain, Itching, Weight loss","Amoxicillin, Ciprofloxacin","Claritine, Crocin","5mg, 10mg","100, 20"
Cholera,"Sweating, Nausea, Dizziness, Headache","Ibuprofen, Cetirizine","Flagyl, Augmentin","5mg, 100mg","50, 150"
Constipation,"Sore throat, Headache, Cough, Chills","Paracetamol, Ranitidine","Alerid, Brufen","250mg, 200mg","30, 150"
Insomnia,"Cough, Dizziness, Weight loss, Pain","Ranitidine, Loratadine","Alerid, Brufen","250mg, 100mg","75, 20"
Acne,"Vomiting, Weight loss, Sweating, Pain","Amoxicillin, Metronidazole","Zinetac, Azithral","5mg, 500mg","200, 150"
Gout,"Chills, Shortness of breath, Cough, Chest tightness","Azithromycin, Cetirizine","Ciplox, Zinetac","10mg, 1g","50, 75"
Gout,"Shortness of breath, Fatigue, Nausea, Chest tightness","Cetirizine, Azithromycin","Flagyl, Crocin","100mg, 5mg","75, 150"
Gastritis,"Nausea, Chills, Pain, Headache","Amoxicillin, Ibuprofen","Zinetac, Claritine","5mg, 200mg","75, 20"
Gout,"Pain, Sweating, Chest tightness, Rash","Ciprofloxacin, Ranitidine","Alerid, Zinetac","500mg, 1g","50, 200"
Common Cold,"Itching, Vomiting, Rash, Sweating","Paracetamol, Omeprazole","Zinetac, Claritine","10mg, 100mg","50, 20"
Cholera,"Weight loss, Sweating, Shortness of breath, Cough","Ranitidine, Azithromycin","Brufen, Azithral","1g, 5mg","30, 75"
Ear Infection,"Chills, Itching, Weight loss, Joint pain","Loratadine, Cetirizine","Flagyl, Ciplox","100mg, 1g","20, 50"
Chickenpox,"Itching, Sore throat, Chills, Fatigue","Ibuprofen, Azithromycin","Ciplox, Alerid","500mg, 10mg","50, 100"
Diarrhea,"Headache, Weight loss, Cough, Nausea","Loratadine, Paracetamol","Zinetac, Azithral","500mg, 5mg","200, 20"
Anxiety,"Shortness of breath, Dizziness, Rash, Pain","Metronidazole, Paracetamol","Ciplox, Crocin","100mg, 5mg","50, 150"
Common Cold,"Cough, Pain, Chills, Fever","Omeprazole, Paracetamol","Flagyl, Claritine","500mg, 5mg","20, 30"
Anxiety,"Sore throat, Chills, Cough, Vomiting","Omeprazole, Amoxicillin","Azithral, Omez","500mg, 5mg","30, 150"
Insomnia,"Chills, Fatigue, Itching, Shortness of breath","Paracetamol, Ciprofloxacin","Azithral, Alerid","100mg, 10mg","50, 30"
Ear Infection,"Fever, Itching, Nausea, Sweating","Ranitidine, Loratadine","Claritine, Crocin","1g, 500mg","30, 150"
Alzheimer's,"Nausea, Sweating, Shortness of breath, Dizziness","Paracetamol, Ranitidine","Alerid, Augmentin","250mg, 100mg","20, 100"
Anxiety,"Chest tightness, Joint pain, Headache, Chills","Omeprazole, Cetirizine","Claritine, Flagyl","1g, 250mg","200, 20"
Hepatitis,"Headache, Sore throat, Fatigue, Cough","Azithromycin, Paracetamol","Zinetac, Crocin","500mg, 250mg","200, 20"
Diarrhea,"Sore throat, Fever, Cough, Headache","Loratadine, Metronidazole","Ciplox, Zinetac","100mg, 500mg","30, 50"
Flu,"Dizziness, Weight loss, Cough, Nausea","Ibuprofen, Azithromycin","Ciplox, Azithral","10mg, 250mg","100, 20"
Alzheimer's,"Weight loss, Cough, Headache, Itching","Omeprazole, Metronidazole","Alerid, Augmentin","500mg, 5mg","150, 200"
Diarrhea,"Fever, Sore throat, Joint pain, Chills","Paracetamol, Ranitidine","Ciplox, Omez","500mg, 200mg","30, 50"
Acne,"Fatigue, Vomiting, Joint pain, Pain","Ibuprofen, Amoxicillin","Azithral, Ciplox","100mg, 250mg","75, 100"
Acne,"Pain, Sore throat, Sweating, Dizziness","Azithromycin, Loratadine","Alerid, Ciplox","100mg, 500mg","200, 20"
Hepatitis,"Dizziness, Cough, Chest tightness, Vomiting","Paracetamol, Ibuprofen","Ciplox, Alerid","250mg, 200mg","20, 75"
Insomnia,"Cough, Shortness of breath, Dizziness, Chest tightness","Azithromycin, Loratadine","Brufen, Omez","100mg, 5mg","30, 50"
Epilepsy,"Pain, Shortness of breath, Cough, Nausea","Cetirizine, Loratadine","Claritine, Crocin","1g, 250mg","20, 150"
COVID-19,"Chest tightness, Chills, Sweating, Shortness of breath","Ibuprofen, Omeprazole","Crocin, Claritine","5mg, 250mg","100, 50"
Insomnia,"Fever, Rash, Joint pain, Sore throat","Amoxicillin, Cetirizine","Azithral, Augmentin","10mg, 250mg","20, 150"
Ear Infection,"Joint pain, Dizziness, Shortness of breath, Fever","Cetirizine, Loratadine","Ciplox, Alerid","250mg, 500mg","150, 20"
Cholera,"Pain, Fever, Chills, Vomiting","Metronidazole, Omeprazole","Azithral, Claritine","5mg, 10mg","20, 100"
HIV,"Sore throat, Cough, Chills, Itching","Omeprazole, Cetirizine","Azithral, Claritine","10mg, 5mg","200, 75"
Eye Infection,"Sore throat, Itching, Joint pain, Cough","Ibuprofen, Cetirizine","Flagyl, Augmentin","200mg, 100mg","75, 20"
Alzheimer's,"Pain, Fatigue, Chills, Itching","Omeprazole, Metronidazole","Ciplox, Crocin","100mg, 5mg","150, 20"
Insomnia,"Chest tightness, Shortness of breath, Joint pain, Fatigue","Loratadine, Ranitidine","Omez, Augmentin","100mg, 10mg","150, 20"
Indigestion,"Weight loss, Nausea, Sweating, Pain","Metronidazole, Ibuprofen","Crocin, Brufen","5mg, 500mg","150, 75"
Chickenpox,"Dizziness, Chest tightness, Itching, Shortness of breath","Metronidazole, Cetirizine","Ciplox, Omez","1g, 500mg","100, 75"
Diarrhea,"Headache, Sore throat, Joint pain, Rash","Metronidazole, Azithromycin","Alerid, Flagyl","500mg, 200mg","75, 30"
Chickenpox,"Rash, Sweating, Chest tightness, Fever","Paracetamol, Ranitidine","Zinetac, Augmentin","250mg, 100mg","50, 75"
Chickenpox,"Sore throat, Nausea, Fever, Joint pain","Amoxicillin, Ibuprofen","Brufen, Augmentin","500mg, 1g","20, 30"
Alzheimer's,"Sweating, Vomiting, Chest tightness, Dizziness","Paracetamol, Azithromycin","Azithral, Zinetac","250mg, 1g","75, 150"
Gout,"Sore throat, Chills, Weight loss, Nausea","Cetirizine, Metronidazole","Claritine, Zinetac","1g, 250mg","100, 50"
Bronchitis,"Dizziness, Itching, Weight loss, Chills","Metronidazole, Azithromycin","Brufen, Azithral","5mg, 10mg","50, 150"
Gout,"Headache, Pain, Dizziness, Sweating","Ibuprofen, Azithromycin","Zinetac, Azithral","250mg, 200mg","50, 75"
Anxiety,"Vomiting, Chest tightness, Weight loss, Headache","Loratadine, Ibuprofen","Crocin, Augmentin","5mg, 250mg","200, 20"
Acne,"Joint pain, Rash, Weight loss, Chest tightness","Loratadine, Cetirizine","Brufen, Omez","100mg, 500mg","150, 100"
Indigestion,"Joint pain, Sweating, Fatigue, Rash","Paracetamol, Metronidazole","Crocin, Omez","10mg, 1g","30, 150"
Glaucoma,"Vomiting, Weight loss, Itching, Shortness of breath","Omeprazole, Loratadine","Crocin, Brufen","1g, 500mg","200, 75"
Gastritis,"Rash, Nausea, Itching, Cough","Ranitidine, Omeprazole","Azithral, Ciplox","100mg, 1g","30, 150"
COVID-19,"Fatigue, Chills, Sweating, Headache","Ibuprofen, Azithromycin","Zinetac, Ciplox","250mg, 5mg","20, 75"
Insomnia,"Sweating, Rash, Sore throat, Pain","Azithromycin, Ciprofloxacin","Ciplox, Omez","10mg, 1g","150, 100"
Gout,"Sore throat, Chills, Joint pain, Fever","Cetirizine, Omeprazole","Augmentin, Alerid","5mg, 1g","150, 50"
Cholera,"Shortness of breath, Joint pain, Vomiting, Chills","Ciprofloxacin, Azithromycin","Zinetac, Claritine","500mg, 5mg","20, 75"
Glaucoma,"Joint pain, Shortness of breath, Fatigue, Weight loss","Azithromycin, Omeprazole","Brufen, Flagyl","100mg, 200mg","50, 150"
Chickenpox,"Pain, Fever, Dizziness, Chills","Ibuprofen, Metronidazole","Brufen, Crocin","5mg, 250mg","50, 30"
Alzheimer's,"Weight loss, Shortness of breath, Fatigue, Vomiting","Ranitidine, Ibuprofen","Brufen, Zinetac","10mg, 250mg","150, 100"
Allergy,"Cough, Fatigue, Dizziness, Headache","Loratadine, Ciprofloxacin","Flagyl, Brufen","1g, 200mg","30, 75"
Gout,"Joint pain, Fever, Nausea, Itching","Paracetamol, Amoxicillin","Claritine, Crocin","100mg, 5mg","75, 50"
Common Cold,"Joint pain, Fever, Nausea, Cough","Paracetamol, Azithromycin","Azithral, Crocin","1g, 200mg","30, 200"
Indigestion,"Chills, Headache, Fatigue, Shortness of breath","Cetirizine, Omeprazole","Alerid, Zinetac","200mg, 1g","75, 200"
Alzheimer's,"Joint pain, Chills, Headache, Shortness of breath","Omeprazole, Amoxicillin","Ciplox, Flagyl","250mg, 100mg","75, 200"
Anxiety,"Weight loss, Chest tightness, Rash, Vomiting","Loratadine, Ciprofloxacin","Crocin, Azithral","200mg, 5mg","30, 75"
Chickenpox,"Dizziness, Sweating, Chest tightness, Fatigue","Amoxicillin, Metronidazole","Augmentin, Ciplox","500mg, 1g","200, 150"
Alzheimer's,"Fatigue, Pain, Joint pain, Chills","Ranitidine, Loratadine","Omez, Flagyl","250mg, 100mg","50, 100"
Acne,"Rash, Headache, Fever, Weight loss","Metronidazole, Loratadine","Alerid, Claritine","5mg, 1g","150, 75"
Indigestion,"Headache, Chills, Sweating, Dizziness","Azithromycin, Loratadine","Alerid, Augmentin","500mg, 250mg","200, 20"
Common Cold,"Chest tightness, Itching, Fever, Rash","Paracetamol, Ranitidine","Ciplox, Augmentin","100mg, 5mg","75, 20"
Alzheimer's,"Joint pain, Headache, Rash, Cough","Metronidazole, Amoxicillin","Ciplox, Omez","1g, 10mg","100, 50"
HIV,"Cough, Weight loss, Vomiting, Dizziness","Ibuprofen, Metronidazole","Augmentin, Crocin","200mg, 250mg","20, 75"
Glaucoma,"Headache, Itching, Rash, Joint pain","Ranitidine, Omeprazole","Omez, Ciplox","200mg, 5mg","100, 150"
Constipation,"Weight loss, Dizziness, Nausea, Rash","Ciprofloxacin, Amoxicillin","Augmentin, Flagyl","5mg, 1g","100, 20"
Acne,"Fever, Vomiting, Joint pain, Chest tightness","Cetirizine, Amoxicillin","Alerid, Flagyl","200mg, 250mg","20, 75"
Gastritis,"Itching, Nausea, Cough, Rash","Ranitidine, Azithromycin","Brufen, Azithral","10mg, 100mg","150, 200"
Chickenpox,"Dizziness, Fever, Shortness of breath, Pain","Loratadine, Paracetamol","Ciplox, Zinetac","500mg, 10mg","50, 200"
HIV,"Vomiting, Shortness of breath, Headache, Rash","Ranitidine, Paracetamol","Omez, Augmentin","200mg, 5mg","20, 75"
Anxiety,"Weight loss, Headache, Fever, Nausea","Cetirizine, Amoxicillin","Brufen, Omez","5mg, 100mg","200, 75"
Anxiety,"Vomiting, Nausea, Chest tightness, Fever","Paracetamol, Metronidazole","Brufen, Omez","5mg, 500mg","150, 75"
